report_year,agency_jurisdiction,agency_state,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1994,Atlanta,GA,3570.98,46.45,102.63,2122.55,1299.36
1995,Atlanta,GA,3646.46,45.51,109.07,2190.99,1300.9
1996,Atlanta,GA,3315.96,47.44,94.89,2010.54,1163.09
1997,Atlanta,GA,3048.48,35.64,86.96,1797.01,1128.87
1998,Atlanta,GA,3047.35,35.97,92.94,1794.03,1124.41
1999,Atlanta,GA,2729.45,34.77,78.05,1626.59,990.05
2000,Atlanta,GA,2781.21,32.17,66.75,1644.52,1037.76
2001,Atlanta,GA,2533.82,33.53,86.05,1396.45,1017.79
2002,Atlanta,GA,2289.12,34.9,63.38,1233.77,957.07
2003,Atlanta,GA,1969.64,34.34,65.19,1011.5,858.62
2004,Atlanta,GA,1841.81,25.81,62.08,1029.38,724.54
2005,Atlanta,GA,1674.85,20.9,51.78,937.85,664.32
2006,Atlanta,GA,1553.71,22.64,35.2,886.78,609.09
2007,Atlanta,GA,1623.8,25.94,29.76,848.8,719.3
2008,Atlanta,GA,1388.89,19.7,23.64,724.93,620.62
2009,Atlanta,GA,1150.12,14.47,24.42,618.37,492.85
2010,Atlanta,GA,1368.8,22.14,21.19,810.71,514.76
2011,Atlanta,GA,1432.79,20.68,34.78,826.73,550.6
2012,Atlanta,GA,1379.05,18.99,25.86,813.42,520.77
2013,Atlanta,GA,1223.01,18.4,23.28,657.4,523.92
2014,Atlanta,GA,1227.43,20.47,33.23,661.15,512.59
2015,Atlanta,GA,1119.62,20.23,36.58,633.51,429.3
1994,Chicago,IL,2793.62,33.47,108.76,1440.86,1210.53
1995,Chicago,IL,2655.13,29.97,105.32,1425.73,1094.11
1996,Chicago,IL,2450.8,28.65,99.92,1346.96,975.27
1997,Chicago,IL,2354.07,27.37,92.02,1320.35,914.33
1998,Chicago,IL,2265.32,25.56,86.77,1312.65,840.34
1999,Chicago,IL,1820.15,22.72,87.52,993.5,716.4
2000,Chicago,IL,1675.47,21.79,69.09,916.6,667.99
2001,Chicago,IL,1601.26,22.88,67.89,877.21,633.28
2002,Chicago,IL,1565.02,22.05,66.81,845.46,630.71
2003,Chicago,IL,1362.25,20.63,62.07,682.59,596.96
2004,Chicago,IL,1278.75,15.54,60.95,650.28,551.97
2005,Chicago,IL,1254.59,15.59,58.99,624.44,555.57
2006,Chicago,IL,1237.42,16.38,55.53,610.44,555.08
2007,Chicago,IL,1236.92,15.68,58.21,616.9,546.13
2008,Chicago,IL,1264.94,18.03,56.34,601.99,588.59
2009,Chicago,IL,1176.12,16.08,50.52,552.13,557.39
2010,Chicago,IL,1104.54,16.03,50.9,510.35,527.27
2011,Chicago,IL,1045.71,15.94,53.96,458.92,516.88
2012,Chicago,IL,1019.8,18.46,50.66,453.11,497.57
2013,Chicago,IL,944.22,15.29,49.18,445.06,434.69
2014,Chicago,IL,885.9,15.23,50.95,459.96,359.75
2015,Chicago,IL,903.84,17.52,52.48,480.23,353.61
1994,Honolulu,HI,287.05,3.97,30.2,132.74,120.13
1995,Honolulu,HI,327.4,4.32,24.65,142.68,155.75
1996,Honolulu,HI,312.97,3.08,25.28,122.77,161.84
1997,Honolulu,HI,299.45,3.86,29.2,128.48,137.91
1998,Honolulu,HI,267.74,1.94,27.67,117.86,120.26
1999,Honolulu,HI,253.64,4.27,27.12,117.59,104.67
2000,Honolulu,HI,262.69,2.28,27.39,120.73,112.29
2001,Honolulu,HI,276.99,2.26,33.08,128.84,112.8
2002,Honolulu,HI,288.86,2,33.76,134.05,119.05
2003,Honolulu,HI,287.86,1.66,29.38,147.58,109.25
2004,Honolulu,HI,276.53,2.87,24.49,158.95,90.23
2005,Honolulu,HI,282.88,1.65,25.76,162.9,92.57
2006,Honolulu,HI,300.76,1.86,25.09,169.06,104.74
2007,Honolulu,HI,288.44,2.1,24.95,157.3,104.1
2008,Honolulu,HI,284.11,1.99,22.4,157.33,102.39
2009,Honolulu,HI,279.68,1.54,26.79,155.55,95.8
