report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1975,NM00101,Albuquerque,NM,286238,2383,30,181,1353,819,12,832.52,10.48,63.23,472.68,286.13
1976,NM00101,Albuquerque,NM,292265,2420,28,186,1335,871,12,828.02,9.58,63.64,456.78,298.02
1977,NM00101,Albuquerque,NM,292341,2390,31,207,1398,754,12,817.54,10.6,70.81,478.21,257.92
1978,NM00101,Albuquerque,NM,291834,2434,37,187,1516,694,12,834.04,12.68,64.08,519.47,237.81
1979,NM00101,Albuquerque,NM,302120,2679,47,215,1602,815,12,886.73,15.56,71.16,530.25,269.76
1980,NM00101,Albuquerque,NM,328837,2810,49,217,1630,914,12,854.53,14.9,65.99,495.69,277.95
1981,NM00101,Albuquerque,NM,336840,2985,45,213,1620,1107,12,886.18,13.36,63.23,480.94,328.64
1982,NM00101,Albuquerque,NM,344962,2659,26,199,1508,926,12,770.81,7.54,57.69,437.15,268.44
1983,NM00101,Albuquerque,NM,355163,2954,24,206,1815,909,12,831.73,6.76,58,511.03,255.94
1984,NM00101,Albuquerque,NM,356366,3615,28,210,2162,1215,12,1014.41,7.86,58.93,606.68,340.94
1985,NM00101,Albuquerque,NM,357051,4105,42,238,2578,1247,12,1149.7,11.76,66.66,722.03,349.25
1986,NM00101,Albuquerque,NM,364196,4292,49,247,2748,1248,12,1178.49,13.45,67.82,754.54,342.67
1987,NM00101,Albuquerque,NM,371756,3845,48,211,2599,987,12,1034.28,12.91,56.76,699.11,265.5
1988,NM00101,Albuquerque,NM,378176,4275,49,190,3108,928,12,1130.43,12.96,50.24,821.84,245.39
1989,NM00101,Albuquerque,NM,384801,4696,41,178,3445,1032,12,1220.37,10.65,46.26,895.27,268.19
1990,NM00101,Albuquerque,NM,384736,5121,34,222,3835,1030,12,1331.04,8.84,57.7,996.79,267.72
1991,NM00101,Albuquerque,NM,393148,5591,51,261,3972,1307,12,1422.11,12.97,66.39,1010.31,332.44
1992,NM00101,Albuquerque,NM,401529,6168,42,294,4372,1460,12,1536.13,10.46,73.22,1088.84,363.61
1993,NM00101,Albuquerque,NM,407286,6696,50,259,4835,1552,12,1644.05,12.28,63.59,1187.13,381.06
1994,NM00101,Albuquerque,NM,416917,6707,45,288,4940,1434,12,1608.71,10.79,69.08,1184.89,343.95
1995,NM00101,Albuquerque,NM,419714,4735,53,296,2763,1623,12,1128.15,12.63,70.52,658.31,386.69
1996,NM00101,Albuquerque,NM,426736,6267,70,375,3824,1998,12,1468.59,16.4,87.88,896.1,468.21
1997,NM00101,Albuquerque,NM,431027,5677,49,270,3629,1729,12,1317.09,11.37,62.64,841.94,401.13
1998,NM00101,Albuquerque,NM,422417,5563,37,219,3614,1693,12,1316.95,8.76,51.84,855.55,400.79
1999,NM00101,Albuquerque,NM,420169,5255,48,220,3320,1667,12,1250.69,11.42,52.36,790.16,396.75
2000,NM00101,Albuquerque,NM,448607,5136,33,239,3317,1547,12,1144.88,7.36,53.28,739.4,344.85
2001,NM00101,Albuquerque,NM,451098,5259,34,219,3396,1610,12,1165.82,7.54,48.55,752.83,356.91
2002,NM00101,Albuquerque,NM,457488,4889,51,293,3250,1295,12,1068.66,11.15,64.05,710.4,283.07
2003,NM00101,Albuquerque,NM,468764,4439,51,263,3045,1080,12,946.96,10.88,56.1,649.58,230.39
2004,NM00101,Albuquerque,NM,479074,4720,41,235,3206,1238,12,985.23,8.56,49.05,669.21,258.42
2005,NM00101,Albuquerque,NM,490631,4670,53,285,3182,1150,12,951.84,10.8,58.09,648.55,234.39
2006,NM00101,Albuquerque,NM,500955,4550,34,286,3059,1171,12,908.27,6.79,57.09,610.63,233.75
2007,NM00101,Albuquerque,NM,513124,5080,47,307,3287,1439,12,990.01,9.16,59.83,640.59,280.44
2008,NM00101,Albuquerque,NM,527464,4718,38,370,2960,1350,12,894.47,7.2,70.15,561.18,255.94
2009,NM00101,Albuquerque,NM,530636,4082,56,326,2597,1103,12,769.27,10.55,61.44,489.41,207.86
2010,NM00101,Albuquerque,NM,545852,4291,42,338,2971,940,12,786.11,7.69,61.92,544.29,172.21
2011,NM00101,Albuquerque,NM,551961,4210,38,264,2910,998,12,762.74,6.88,47.83,527.21,180.81
2012,NM00101,Albuquerque,NM,553684,4151,41,278,2740,1092,12,749.71,7.4,50.21,494.87,197.22
2013,NM00101,Albuquerque,NM,558165,4325,37,439,2803,1046,12,774.86,6.63,78.65,502.18,187.4
2014,NM00101,Albuquerque,NM,558874,4934,30,402,3121,1381,12,882.85,5.37,71.93,558.44,247.1
2015,NM00101,Albuquerque,NM,559721,5406,43,404,3273,1686,,965.84,7.68,72.18,584.76,301.22
1975,GAAPD00,Atlanta,GA,490584,8033,185,443,3518,3887,12,1637.44,37.71,90.3,717.1,792.32
1976,GAAPD00,Atlanta,GA,457300,7529,154,477,3518,3380,12,1646.4,33.68,104.31,769.3,739.12
1977,GAAPD00,Atlanta,GA,440300,7595,138,510,3593,3354,12,1724.96,31.34,115.83,816.03,761.75
1978,GAAPD00,Atlanta,GA,456000,8845,144,592,3990,4119,12,1939.69,31.58,129.82,875,903.29
1979,GAAPD00,Atlanta,GA,423103,10715,231,656,4639,5189,12,2532.48,54.6,155.04,1096.42,1226.42
1980,GAAPD00,Atlanta,GA,422474,11075,201,671,5470,4733,12,2621.46,47.58,158.83,1294.75,1120.31
1981,GAAPD00,Atlanta,GA,435626,10608,181,644,5246,4537,12,2435.12,41.55,147.83,1204.24,1041.49
1982,GAAPD00,Atlanta,GA,441103,10486,152,613,5722,3999,12,2377.22,34.46,138.97,1297.2,906.59
1983,GAAPD00,Atlanta,GA,448635,9326,141,619,5014,3552,12,2078.75,31.43,137.97,1117.61,791.73
1984,GAAPD00,Atlanta,GA,442951,10525,135,632,5729,4029,12,2376.11,30.48,142.68,1293.37,909.58
1985,GAAPD00,Atlanta,GA,436214,11610,145,683,5990,4792,12,2661.54,33.24,156.57,1373.18,1098.54
1986,GAAPD00,Atlanta,GA,445617,13162,186,681,6867,5428,12,2953.66,41.74,152.82,1541.01,1218.09
1987,GAAPD00,Atlanta,GA,429953,12893,207,636,6950,5100,12,2998.7,48.14,147.92,1616.46,1186.18
1988,GAAPD00,Atlanta,GA,444995,15911,217,721,9001,5972,12,3575.55,48.76,162.02,2022.72,1342.04
1989,GAAPD00,Atlanta,GA,426482,16852,246,691,9119,6796,12,3951.4,57.68,162.02,2138.19,1593.5
1990,GAAPD00,Atlanta,GA,394017,16097,231,695,9062,6109,12,4085.36,58.63,176.39,2299.9,1550.44
1991,GAAPD00,Atlanta,GA,403085,16327,205,676,8967,6479,12,4050.51,50.86,167.71,2224.59,1607.35
1992,GAAPD00,Atlanta,GA,410876,15856,198,627,9207,5824,12,3859.07,48.19,152.6,2240.82,1417.46
1993,GAAPD00,Atlanta,GA,402877,16281,203,492,9541,6045,12,4041.18,50.39,122.12,2368.22,1500.46
1994,GAAPD00,Atlanta,GA,411204,14684,191,422,8728,5343,12,3570.98,46.45,102.63,2122.55,1299.36
1995,GAAPD00,Atlanta,GA,404337,14744,184,441,8859,5260,12,3646.46,45.51,109.07,2190.99,1300.9
1996,GAAPD00,Atlanta,GA,413123,13699,196,392,8306,4805,12,3315.96,47.44,94.89,2010.54,1163.09
1997,GAAPD00,Atlanta,GA,420865,12830,150,366,7563,4751,12,3048.48,35.64,86.96,1797.01,1128.87
1998,GAAPD00,Atlanta,GA,414262,12624,149,385,7432,4658,12,3047.35,35.97,92.94,1794.03,1124.41
1999,GAAPD00,Atlanta,GA,411291,11226,143,321,6690,4072,12,2729.45,34.77,78.05,1626.59,990.05
2000,GAAPD00,Atlanta,GA,416474,11583,134,278,6849,4322,12,2781.21,32.17,66.75,1644.52,1037.76
2001,GAAPD00,Atlanta,GA,426511,10807,143,367,5956,4341,12,2533.82,33.53,86.05,1396.45,1017.79
2002,GAAPD00,Atlanta,GA,435494,9969,152,276,5373,4168,12,2289.12,34.9,63.38,1233.77,957.07
2003,GAAPD00,Atlanta,GA,431043,8490,148,281,4360,3701,12,1969.64,34.34,65.19,1011.5,858.62
2004,GAAPD00,Atlanta,GA,430066,7921,111,267,4427,3116,12,1841.81,25.81,62.08,1029.38,724.54
2005,GAAPD00,Atlanta,GA,430666,7213,90,223,4039,2861,12,1674.85,20.9,51.78,937.85,664.32
2006,GAAPD00,Atlanta,GA,485804,7548,110,171,4308,2959,12,1553.71,22.64,35.2,886.78,609.09
2007,GAAPD00,Atlanta,GA,497290,8075,129,148,4221,3577,12,1623.8,25.94,29.76,848.8,719.3
