,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2415,2010,NM00101,Albuquerque,NM,545852,4291,42,338,2971,940,12,786.11,7.69,61.92,544.29,172.21
2417,2010,GAAPD00,Atlanta,GA,420003,5749,93,89,3405,2162,12,1368.8,22.14,21.19,810.71,514.76
2422,2010,MA01301,Boston,MA,617594,5819,73,256,3564,1926,12,942.2,11.82,41.45,577.08,311.86
2424,2010,NC06001,Charlotte,NC,779541,4891,61,239,2796,1795,12,627.42,7.83,30.66,358.67,230.26
2425,2010,ILCPD00,Chicago,IL,2695598,29774,432,1372,13757,14213,12,1104.54,16.03,50.9,510.35,527.27
2429,2010,TXDPD00,Dallas,TX,1197816,9161,148,505,4021,4487,12,764.81,12.36,42.16,335.69,374.6
2430,2010,CODPD00,Denver,CO,600158,3387,28,371,2045,943,12,564.35,4.67,61.82,340.74,157.13
2431,2010,MI82349,Detroit,MI,713777,16973,310,403,10721,5539,12,2377.91,43.43,56.46,1502.01,776.01
2433,2010,VA02901,Fairfax County,VA,1042747,971,23,127,438,383,12,93.12,2.21,12.18,42,36.73
2436,2010,HI00200,Honolulu,HI,953297,2548,19,218,1420,891,12,267.28,1.99,22.87,148.96,93.47
2438,2010,INIPD00,Indianapolis,IN,831388,9646,92,461,5726,3367,12,1160.23,11.07,55.45,688.73,404.99
2439,2010,FL01602,Jacksonville,FL,823209,5469,80,316,3380,1693,12,664.35,9.72,38.39,410.59,205.66
2440,2010,MOKPD00,Kansas City,MO,459787,5643,102,241,3629,1671,12,1227.31,22.18,52.42,789.28,363.43
2441,2010,NV00201,Las Vegas,NV,1446280,12648,107,652,7886,4003,12,874.52,7.4,45.08,545.26,276.78
2444,2010,CA01942,Los Angeles,CA,3792621,21484,293,923,9344,10924,12,566.47,7.73,24.34,246.37,288.03
2445,2010,KY05680,Louisville,KY,660582,3734,52,229,1850,1603,12,565.26,7.87,34.67,280.06,242.66
2446,2010,TNMPD00,Memphis,TN,646889,10401,89,433,6642,3237,12,1607.85,13.76,66.94,1026.76,500.39
2450,2010,WIMPD00,Milwaukee,WI,594833,6336,95,196,3102,2943,12,1065.17,15.97,32.95,521.49,494.76
2451,2010,MN02711,Minneapolis,MN,382578,4064,37,438,1993,1596,12,1062.27,9.67,114.49,520.94,417.17
2452,2010,MD01604,Montgomery County,MD,953109,1699,16,119,653,911,12,178.26,1.68,12.49,68.51,95.58
2455,2010,LANPD00,New Orleans,LA,343829,2593,175,144,1321,953,12,754.15,50.9,41.88,384.2,277.17
2456,2010,NY03030,New York City,NY,8175133,48489,536,1036,27309,19608,12,593.13,6.56,12.67,334.05,239.85
2457,2010,NJNPD00,Newark,NJ,277140,2885,90,79,1112,1604,12,1040.99,32.47,28.51,401.24,578.77
2459,2010,OK05506,Oklahoma City,OK,579999,5304,54,340,3798,1112,12,914.48,9.31,58.62,654.83,191.72
2460,2010,NB02802,Omaha,NE,408958,2274,34,205,1312,723,12,556.05,8.31,50.13,320.82,176.79
2462,2010,PAPEP00,Philadelphia,PA,1526006,18535,306,945,8921,8363,12,1214.61,20.05,61.93,584.6,548.03
2463,2010,AZ00723,Phoenix,AZ,1445632,8001,116,522,4113,3250,12,553.46,8.02,36.11,284.51,224.82
2469,2010,UT01803,Salt Lake City,UT,186440,1294,8,147,780,359,12,694.06,4.29,78.85,418.37,192.56
2474,2010,WASPD00,Seattle,WA,608660,3515,19,96,1971,1429,12,577.5,3.12,15.77,323.83,234.78
2481,2010,DCMPD00,Washington,DC,601723,7468,132,184,3238,3914,12,1241.1,21.94,30.58,538.12,650.47
2482,2010,KS08703,Wichita,KS,382368,3038,16,251,2290,481,12,794.52,4.18,65.64,598.9,125.8
