year,juv_pop_millions,,,,,,,,,,,,,,,,,,,
1994,22.2,,,,,,,,,,,,,,,,,,,
1995,22.7,,,,,,,,,,,,,,,,,,,
1996,23.1,,,,,,,,,,,,,,,,,,,
1997,23.5,,,,,,,,,,,,,,,,,,,
1998,23.8,,,,,,,,,,,,,,,,,,,
1999,24.0,,,,,,,,,,,,,,,,,,,
2000,24.3,,,,,,,,,,,,,,,,,,,
2001,24.6,,,,,,,,,,,,,,,,,,,
2002,25.1,,,,,,,,,,,,,,,,,,,
2003,25.4,,,,,,,,,,,,,,,,,,,
2004,25.7,,,,,,,,,,,,,,,,,,,
2005,25.9,,,,,,,,,,,,,,,,,,,
2006,26.0,,,,,,,,,,,,,,,,,,,
2007,26.0,,,,,,,,,,,,,,,,,,,
2008,25.8,,,,,,,,,,,,,,,,,,,
2009,25.5,,,,,,,,,,,,,,,,,,,
2010,25.3,,,,,,,,,,,,,,,,,,,
2011,25.1,,,,,,,,,,,,,,,,,,,
2012,25.1,,,,,,,,,,,,,,,,,,,
2013,25,,,,,,,,,,,,,,,,,,,
2014,25,,,,,,,,,,,,,,,,,,,
2015,25,,,,,,,,,,,,,,,,,,,
2016,25,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
